id,Name,path,url
2033,Designers/All Designers/J Brand/,1/2/1517/1898/2033,/designers/all-designers/j-brand.html
2584,Designers/All Designers/J Brand/Clothing/,1/2/1517/1898/2033/2584,/designers/all-designers/j-brand/clothing.html
2037,Designers/All Designers/Jane Carr/,1/2/1517/1898/2037,/designers/all-designers/jane-carr.html
2040,Designers/All Designers/Jean Louis Blin/,1/2/1517/1898/2040,/designers/all-designers/jean-louis-blin.html
2041,Designers/All Designers/Jennifer Fisher/,1/2/1517/1898/2041,/designers/all-designers/jennifer-fisher.html
2042,Designers/All Designers/Jennifer Zeuner/,1/2/1517/1898/2042,/designers/all-designers/jennifer-zeuner.html
2043,Designers/All Designers/Jerome Dreyfuss/,1/2/1517/1898/2043,/designers/all-designers/jerome-dreyfuss.html
2650,Designers/All Designers/Jerome Dreyfuss/Handbags/,1/2/1517/1898/2043/2650,/designers/all-designers/jerome-dreyfuss/handbags.html
2045,Designers/All Designers/Jil Sander Navy/,1/2/1517/1898/2045,/designers/all-designers/jil-sander-navy.html
2630,Designers/All Designers/Jil Sander Navy/Shoes/,1/2/1517/1898/2045/2630,/designers/all-designers/jil-sander-navy/shoes.html
2046,Designers/All Designers/Jocelyn/,1/2/1517/1898/2046,/designers/all-designers/jocelyn.html
2621,Designers/All Designers/Jocelyn/Accessories/,1/2/1517/1898/2046/2621,/designers/all-designers/jocelyn/accessories.html
2048,Designers/All Designers/Joie A La Plage/,1/2/1517/1898/2048,/designers/all-designers/joie-a-la-plage.html
2631,Designers/All Designers/Joie A La Plage/Shoes/,1/2/1517/1898/2048/2631,/designers/all-designers/joie-a-la-plage/shoes.html
2047,Designers/All Designers/Joie/,1/2/1517/1898/2047,/designers/all-designers/joie.html
2049,Designers/All Designers/Joomi Lim/,1/2/1517/1898/2049,/designers/all-designers/joomi-lim.html
2053,Designers/All Designers/Kai/,1/2/1517/1898/2053,/designers/all-designers/kai.html
2052,Designers/All Designers/Kbl/,1/2/1517/1898/2052,/designers/all-designers/kbl.html
2056,Designers/All Designers/Kelly Wearstler/,1/2/1517/1898/2056,/designers/all-designers/kelly-wearstler.html
2058,Designers/All Designers/Kenzo/,1/2/1517/1898/2058,/designers/all-designers/kenzo.html
2063,Designers/All Designers/Lacausa/,1/2/1517/1898/2063,/designers/all-designers/lacausa.html
2060,Designers/All Designers/L'agence/,1/2/1517/1898/2060,/designers/all-designers/lagence.html
